Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Female,Summer,Right,Freshman,Others,U.S.,Yes,Yes,Evening,0,90,0,TikTok,1,1,5,7,8,Not sure,4,4,0,0,No,56
Male,Fall,Left,Sophomore,College of Biological Sciences (CBS),U.S.,No,Yes,Morning,0,32,80,TikTok,4,2,2,7,8,Yes,3.92,3.045,0,0,Yes,42
Female,Spring,Right,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Evening,1,100,300,TikTok,9,1,12,4,10,No,3.5,3.187,2,1,No,51
Male,Winter,Right,Freshman,College of Science of Engineering (CSE),U.S.,Yes,Yes,Morning,0,20,0,YouTube,2,1,8,7,8,Yes,3.975,3.524,0,0,No,27
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,1,60,0,TikTok,6,2,4,6,8,No,4,3.889,0,0,No,52
Female,Fall,Right,Freshman,College of Science of Engineering (CSE),U.S.,No,Yes,Evening,0,15,200,YouTube,2,2,12,6.5,8,No,4,4,0,0,No,37
Female,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,0,0,25,TikTok,5,3,5,6,8,Not sure,4,2.33,0,-1,No,75
Female,Fall,Right,Others (PSEO or Post graduate),"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Evening,0,15,0,TikTok,3,0,6,6,7,Yes,3.996,4,0,-1,No,50
Male,Spring,Right,Senior,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,0,50,100,Twitter,2,1,4,7,7,Not sure,3.983,3.841,0,2,Yes,34
Male,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,2,40,1200,Instagram,3,1.5,5,6,10,Not sure,3.5,4,0,0,No,42
Female,Fall,Right,Sophomore,College of Science of Engineering (CSE),U.S.,Yes,No,Depends,0,90,300,YouTube,1.5,1,7,3,3,Yes,4,3.7,0,0,No,40
Female,Fall,Left,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,0,65,0,TikTok,2,1,3,7,8,Yes,4,3.98,0,0,No,57
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),International,No,Yes,Depends,2,40,0,Instagram,4,1,3,8,9,No,3.78,3.84,0,-1,No,80
Female,Fall,Right,Junior,Others,U.S.,Yes,No,Evening,1,0,200,TikTok,5,1,5,9,9,Not sure,3.7,0,0,1,No,114
Female,Fall,Right,Freshman,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Depends,0,0,100,Others,3,1,4,7,8,Yes,3.7,0,0,0,No,35
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,30,10,Others,0.5,1,5,6,8,Not sure,4,3.9,0,0,No,42
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,Evening,1,175,50,TikTok,7,1,8,8,8,Not sure,3.7,4,0,1,No,35
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,1,40,10,TikTok,1,0.5,4,7,9,Yes,3.8,3.6,0,0,No,53
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,0,40,20,TikTok,4,1,4,9,9,Yes,3.7,3.2,0,0,Yes,65
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,1,40,0,TikTok,5,0,7,8,8,Yes,3.96,3.97,0,0,No,66
Male,Summer,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,1,50,0,TikTok,4,1.5,4.5,7.5,8,Yes,3.8,3.8,0,0,No,46
Male,Spring,Left,Junior,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,2,20,0,YouTube,4,0,4,7,8,Yes,0,3.2,0,-1,No,42
Female,Winter,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,2,30,5000,TikTok,10,1,7,6,6,Yes,3.9,3.62,0,2,Yes,43
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,2,120,200,Instagram,4,1,8,6,10,Yes,3.7,2.5,0,0,No,62
